Lang,Index,Source,Reference,LLM_Translation,Reasoning_Summary,ChrF
Korean,0,"""그는 """"현재 4개월 된 당뇨병에서 치료된 생쥐가 있다""""고 덧붙였다.""","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","He added, “At present, there are mice that have been cured of diabetes for four months now.”",,31.93
Korean,1,노바스코샤주 핼리팩스의 댈하우지대학교 의과 교수이자 캐나다 당뇨 협회 임상과학부 의장인 Ehud Ur 박사는 이 연구가 아직 초기 단계라고 경고했습니다.,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, a professor of medicine at Dalhousie University in Halifax, Nova Scotia, and chair of the Clinical Science Division of the Canadian Diabetes Association, warned that the study is still in its early stages.",,77.12
Korean,2,"다른 전문가들과 마찬가지로, 그는 당뇨병의 치료 여부에 회의적이며, 이러한 결과는 제1형 당뇨병 환자에게는 관련이 없음을 지적합니다.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Like other experts, he is skeptical about whether diabetes can be cured, and points out that these results are not relevant to patients with type 1 diabetes.",,63.23
Korean,3,월요일 스웨덴 한림원 노벨상 문학위원회 사무총장 사라 다니우스는 스웨덴 스베리예스 라디오의 라디오 프로그램에서 위원회는 2016년 노벨 문학상 수상 소식을 밥 딜런에게 직접 전달하는 것이 불가능하여 그에게 연락을 취하려는 노력을 포기했다고 공개적으로 발표했습니다.,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On Monday, Sara Danius, the permanent secretary of the Swedish Academy’s Nobel Committee for Literature, publicly announced on a radio program on Sweden’s Sveriges Radio that the committee had given up its efforts to contact Bob Dylan because it was impossible to convey the news of his winning the 2016 Nobel Prize in Literature to him directly.",,73.1
Korean,4,"""대니어스(Danius)는 """"지금 우리는 아무것도 하지는 않고 있다. 그의 가장 가까운 협력자에게 전화를 걸어 이메일을 보냈고 매우 친절한 답장을 받았다. 현재로서는 확실히 그것으로 충분하다.""""""","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius said, “Right now we’re not doing anything. I called his closest collaborator and sent an email, and I received a very kind reply. For now, that is certainly enough.”",,67.08
Korean,5,링의 CEO인 제이미 시미노프 (Jamie Siminoff)는 차고에 있던 그의 숍에서 초인종 소리를 들을 수 없었을 때 회사를 시작했다고 말했습니다.,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",Ring CEO Jamie Siminoff said he started the company when he couldn’t hear the doorbell from his workshop in the garage.,,47.92
Korean,6,그는 무선 도어벨(Wi-Fi doorbell)을 만들었다고 말했다.,"He built a WiFi door bell, he said.",He said that he made a wireless doorbell (a Wi‑Fi doorbell).,,41.24
Korean,7,"Siminoff는 2013년, 쇼 출연자가 스타트업의 자금 지원을 거절했었던 Shark Tank 에피소드에 출연한 이후 매출이 증가했다고 말했습니다.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff said that sales increased after he appeared on a 2013 episode of *Shark Tank* in which the show’s participants turned down funding for the startup.,,52.49
Korean,8,"2017년 말, 시미노프는 쇼핑 텔레비젼 채널인 QVC에 출연했다.","In late 2017, Siminoff appeared on shopping television channel QVC.","In late 2017, Shiminov appeared on QVC, a shopping television channel.",,76.85
Korean,9,Ring은 경쟁 보안회사인 ADT 사와의 소송 또한 합의를 보았다.,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ring also reached a settlement in its lawsuit with rival security company ADT.,,52.5
Korean,10,"한 실험용 백신이 에볼라 사망률을 줄일 수 있을 것처럼 보이지만, 지금까지 어떤 약도 기존의 감염을 치료하는데 적합하다고 명확하게 입증되지 않았습니다.","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","An experimental vaccine appears to be able to reduce Ebola’s death rate, but so far no drug has been clearly proven suitable for treating existing infections.",,65.08
Korean,11,"항체 칵테일 지맵(ZMapp)은 초기에는 그 분야에서 가능성을 보였지만, 공식적인 연구들에 의하면 죽음을 방지하는 효과가 기대보다 작다고 합니다.","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","The antibody cocktail ZMapp initially showed promise in the field, but official studies report that its ability to prevent death is less than expected.",,59.27
Korean,12,"PALM 실험에서 ZMapp은 대조군의 역할을 했습니다. 즉, 과학자들은 ZMapp을 기준치로 사용했고 다른 세 가지 치료법을 이와 비교했습니다.","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","In the PALM trial, ZMapp served as the control group; that is, scientists used ZMapp as the baseline and compared the other three treatments to it.",,74.43
Korean,13,"미국 체조 협회는 미국 올림픽 위원회의 서한을 지지하며, 미국의 전 운동선수가 안전한 환경을 가질 수 있도록 돕는 올림픽 관계자의 절대적 필요성을 인정합니다.",USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,USA Gymnastics supports the U.S. Olympic Committee’s letter and acknowledges the critical need for Olympic officials to help ensure that all former U.S. athletes have a safe environment.,,56.23
Korean,14,저희는 탈퇴가 아닌 조직 내에서 의미있는 변화를 추구함으로써 선수와 구단과 그리고 스포츠에 더 나은 결과를 가져올 수 있다는 USOC의 주장에 동의합니다.,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","We agree with the USOC’s assertion that, by pursuing meaningful change within the organization rather than withdrawing, we can bring about better outcomes for the athletes, the clubs, and the sport.",,52.4
Korean,15,미국 체조단은 래리 나사르의 피해자들이 그동안 용기 있게 밝혀왔던 사실들이 어떻게 오랫동안 밝혀지지 않았으며 다시는 이런 일이 없도록 필요하고 적절한 조치를 취하기 위한 독립적인 조사를 지지한다.,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,"USA Gymnastics supports an independent investigation into how the facts that Larry Nassar’s victims have courageously revealed over the years remained undisclosed for so long, and into taking the necessary and appropriate measures to ensure that nothing like this ever happens again.",,53.44
Korean,16,미국 체조 대표팀과 USOC는 같은 목표를 가지고 있습니다. 선수들이 안전하고 긍정적이며 격려 받는 환경에서 꿈을 좇을 수 있도록 체조 등의 스포츠를 가능한 한 안전하게 만드는 것입니다.,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.","The U.S. national gymnastics team and the USOC share the same goal: to make sports such as gymnastics as safe as possible so that athletes can pursue their dreams in a safe, positive, and supportive environment.",,60.42
